name,price,package_size,serving_size,calories_per_serving,calculated_calories,serves_about,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Polyunsaturated Fat,Monounsaturated Fat,Vitamin A,Vitamin C,Insoluble Fiber,Soluble Fiber,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Folic Acid,Vitamin B12,Zinc,Pantothenic Acid,Phosphorus,Calories from Fat,Trans Fat 0g,† As prepared with unsalted butter and salt.,Added SugarsƗ,Ɨ One  serving adds 16g of sugar to your diet and represents  32% of the Daily Value for Added Sugars
Habanero Hot Sauce,$2.99,4.4 Fl Oz,5 mL,0.0,0.0,26,0 g,,,,30 mg,0 g,,,,0 g,,,,,,,,,,,,,,,,,,,,,,,,,
A Trio of Almonds,$5.99,12 Oz,33 g,200.0,203.0,10,15 g,1.5 g,0 g,0 mg,40 mg,9 g,3 g,6 g,5 g,8 g,0.0 mcg,50 mg,0.8 mg,170 mg,3.5 g,8 g,,,,,,,,,,,,,,,,,,,
Minty Flavored Cocoa Truffles,$3.49,8.8 Oz,32 g,200.0,191.0,8,15 g,13 g,0 g,0 mg,15 mg,13 g,1 g,12 g,10 g,1 g,0.0 mcg,30 mg,2.0 mg,150 mg,,,,,,,,,,,,,,,,,,,,,
Favorite Sweets An Inspired Truffle Collection,$5.99,5.4 Oz,25 g,120.0,122.0,6,6 g,4.0 g,0 g,5 mg,15 mg,16 g,1 g,12 g,12 g,1 g,0.0 mcg,10 mg,1.4 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
Truffle Oil Duo,$9.99,4.06 Fl Oz,14 g,120.0,117.0,4,13g,2.5g,0g,,0mg,0g,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,
Scar Pier Panettone al cioccolato,$12.99,26.45 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Chocolate Covered Gingerbread Cookie Folk,$3.49,7.05 Oz,33 g,130.0,131.0,6,3.0 g,1.5 g,0 g,0 mg,50 mg,24 g,1 g,11 g,11 g,2 g,0.3 mcg,10 mg,2.0 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Jingle Jangle Pretzel Twists,$3.99,6.75 Oz,32 g,150.0,163.0,6,7 g,4.0 g,0 g,0 mg,75 mg,22 g,1 g,13 g,12 g,3 g,0.0 mcg,20 mg,0.9 mg,90 mg,,,,,,,,,,,,,,,,,,,,,
Platinum Aged Balsamic Vinegar of Modena,$8.99,8.5 Fl Oz,1 Tbsp.,50.0,44.0,16,0g,,,,0mg,11g,,11g,10g,0g,,,,,,,,,,,,,,,,,,,,,,,,,
Astounding Multi-Flavor Joe-Joe's,$8.49,21 Oz,25 g,130.0,131.0,24,7 g,3.0 g,0 g,0 mg,55 mg,16 g,1 g,11 g,11 g,1 g,0.1 mcg,10 mg,0.8 mg,80 mg,,,,,,,,,,,,,,,,,,,,,
Handmade Candy Cane with Cocoa Center,$1.49,1.75 Oz,50 g,200.0,198.5,,2.5 g,2.0 g,0 g,0 mg,15 mg,44 g,0 g,35 g,30 g,0 g,0.0 mcg,0 mg,0.2 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
Mini Chocolate Mousse Desserts,$4.79,6.36 Oz,180 g,670.0,112.0,1,8 g,5 g,0 g,15 mg,25 mg,9 g,1 g,6 g,6 g,1 g,0.0 mcg,20 mg,1.3 mg,10 mg,,,,,,,,,,,,,,,,,,,,,
Mini Hold The Cone Peppermint Flavored,$3.99,7.9 Oz,84 g,690.0,252.0,2.5,12 g,8 g,0 g,30 mg,100 mg,32 g,2 g,19 g,18 g,4 g,0.0 mcg,230 mg,2.2 mg,180 mg,,,,,,,,,,,,,,,,,,,,,
Toscano Cheese Soaked in Chardonnay Wine,$10.99,1 Lb,28 g,120.0,122.0,,10g,7g,0g,25mg,170mg,1g,0g,0g,0g,7g,,,,,,,,,,,,,,,,,,,,,,,,,
English Toffee with Nuts,$10.99,30 Oz,36 g,200.0,206.0,23,14 g,6 g,0 g,15 mg,45 mg,18 g,1 g,16 g,16 g,2 g,0.1 mcg,30 mg,0.5 mg,80 mg,,,,,,,,,,,,,,,,,,,,,
Mini Gingerbread People,$4.49,16 Oz,32 g,150.0,149.0,14,5.0 g,3.0 g,0 g,0 mg,110 mg,24 g,1 g,13 g,13 g,2 g,0.0 mcg,20 mg,0.8 mg,50 mg,,,,,,,,,,,,,,,,,,,,,
Mini Chocolate Mousse Presents,$3.99,5 Oz,72 g/,680.0,346.0,2,22 g,12 g,0 g,15 mg,130 mg,34 g,2 g,27 g,27 g,3 g,0.0 mcg,20 mg,2.8 mg,130 mg,,,,,,,,,,,,,,,,,,,,,
Gingerbread Sandwich Cookies,$5.99,20 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Jumbo Cinnamon Rolls,$4.99,17.5 Oz,99 g,260.0,258.0,5,10 g,4.5 g,0 g,0 mg,750 mg,38 g,2 g,10 g,10 g,4 g,0.0 mcg,20 mg,0.4 mg,50 mg,,,,,,,,,,,,,,,,,,,,,
Double Crème Brie with Truffles,$9.99,8.5 Oz,28 g,100.0,97.0,,9g,6g,0g,30mg,170mg,0g,0g,0g,0g,4g,,,,,,,,,,,,,,,,,,,,,,,,,
Truffle Dip,$5.49,7.5 Oz,28 g,60.0,66.0,8,6 g,3.0 g,0 g,15 mg,110 mg,1 g,0 g,1 g,0 g,2 g,0.1 mcg,40 mg,0.0 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Chocolate Peppermint Loaf & Baking MIx,$3.99,19 Oz,34 g,200.0,133.5,,1.5 g,0.5 g,0 g,0 mg,210 mg,28 g,1 g,17 g,17 g,2 g,0.1 mcg,30 mg,1.6 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
Extra Fine French Green Beans,$2.49,24 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginger Spread,$3.99,12 Oz,20 g,60.0,56.0,17,0 g,0 g,0 g,0 mg,0 mg,14 g,0 g,13 g,9 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
French Apple Tart,$7.99,20 Oz,142 g,330.0,332.0,4,12 g,6 g,0 g,15 mg,65 mg,53 g,2 g,29 g,21 g,3 g,0.0 mcg,10 mg,1.1 mg,110 mg,,,,,,,,,,,,,,,,,,,,,
Pumpkin Pie,$6.99,27 Oz,128 g,420.0,416.0,6,16 g,8 g,0 g,25 mg,390 mg,62 g,1 g,33 g,29 g,6 g,0.4 mcg,100 mg,1.5 mg,90 mg,,,,,,,,,,,,,,,,,,,,,
Pastry Bites Feta Cheese & Caramelized Onions,$5.49,8.5 Oz,80 g,730.0,242.0,3,18 g,12 g,0 g,65 mg,300 mg,15 g,1 g,3 g,1 g,5 g,0.0 mcg,78 mg,1.0 mg,193 mg,,,,,,,,,,,,,,,,,,,,,
Organic Creamy Mushroom Soup,$3.99,15 Oz,425 g,170.0,100.5,1,4.5 g,3.0 g,0 g,0 mg,690 mg,13 g,2 g,3 g,0 g,2 g,0.0 mcg,40 mg,0.6 mg,150 mg,,,,,,,,,,,,,,,,,,,,,
Gluten Free Triple Ginger Muffins,$4.99,14 Oz,99 g,380.0,380.0,4,20 g,3.0 g,0 g,60 mg,380 mg,47 g,1 g,24 g,24 g,3 g,0.5 mcg,50 mg,0.8 mg,270 mg,,,,,,,,,,,,,,,,,,,,,
Organic Sweet Potatoes,$6.49,5 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haricots Verts,$5.99,2 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrah Soaked Toscano Cheese Spread & Dip,$4.99,7.5 Oz,28 g,90.0,91.0,8,7 g,4.5 g,0 g,25 mg,140 mg,3 g,0 g,1 g,0 g,4 g,0.2 mcg,100 mg,0.2 mg,100 mg,,,,,,,,,,,,,,,,,,,,,
Belgian Cookie Trio,$5.99,10.9 Oz,33 g,170.0,160.0,9,8 g,5 g,0 g,15 mg,80 mg,20 g,1 g,12 g,11 g,2 g,0.0 mcg,20 mg,1.3 mg,80 mg,,,,,,,,,,,,,,,,,,,,,
Pão D' Água Portuguese Rolls,$2.29,9.3 Oz,66 g,160.0,156.5,4,0.5 g,0 g,0 g,0 mg,230 mg,33 g,2 g,2 g,0 g,5 g,0.0 mcg,60 mg,0.8 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
Apple Crumble Pie,$7.99,27.161 Oz,128 g,330.0,333.0,6,13 g,8 g,0 g,35 mg,240 mg,50 g,3 g,27 g,21 g,4 g,0.2 mcg,80 mg,1.4 mg,150 mg,,,,,,,,,,,,,,,,,,,,,
Apple & Pumpkin Hand Pies,$4.49,8.47 Oz,240 g,730.0,362.0,2,18 g,11 g,0.5 g,70 mg,480 mg,45 g,2 g,17 g,13 g,5 g,0.4 mcg,70 mg,1.8 mg,110 mg,,,,,,,,,,,,,,,,,,,,,
Glazed Maple Donuts,$4.49,15 Oz,71 g,330.0,325.0,6,17 g,8 g,0 g,5 mg,270 mg,40 g,4 g,18 g,16 g,3 g,0.0 mcg,140 mg,1.4 mg,80 mg,,,,,,,,,,,,,,,,,,,,,
Portuguese Flor de Sal,$4.99,5.11 Oz,1.5 g,0.0,0.0,97,0 g,0 g,0 g,0 mg,580 mg,0 g,0 g,0 g,0 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
"Red Pepper, Cranberry & Walnut Dip",$3.99,8 Oz,32 g,70.0,73.0,7,5.0 g,0 g,0 g,0 mg,140 mg,6 g,1 g,4 g,3 g,1 g,0.1 mcg,10 mg,0.3 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Mashed Potatoes,$4.29,28 Oz,126 g,150.0,153.0,6,9 g,6 g,0 g,20 mg,250 mg,15 g,2 g,2 g,0 g,3 g,0.0 mcg,20 mg,0.3 mg,290 mg,,,,,,,,,,,,,,,,,,,,,
Korean Beefless Bulgogi,$4.99,10 Oz,94 g,230.0,223.0,3,11 g,2.0 g,0 g,0 mg,580 mg,15 g,5 g,6 g,6 g,16 g,0.0 mcg,60 mg,5.3 mg,190 mg,,,,,,,,,,,,,,,,,,,,,
Bulgur Pilaf with Butternut Squash & Feta Cheese,$1.99,14.1 Oz,111 g,200.0,194.0,3.5,10g,3g,0g,10mg,380mg,20g,2g,3g,0g,6g,0mcg,40mg,1mg,250mg,,,,,,,,,,,,,,,,,,,,,
Organic Dark Chocolate Half-Coated Rice Cake Thins,$2.79,3.42 Oz,24 g,120.0,118.0,4,6 g,3.5 g,0 g,0 mg,0 mg,14 g,2 g,5 g,5 g,2 g,,,,,,,,,,,,,,,,,,,,,,,,,
Vegan Salmonesque Spread,$4.29,8 Oz,28 g,100.0,97.0,8,9 g,4.0 g,0 g,0 mg,210 mg,3 g,0 g,0 g,0 g,1 g,0.0 mcg,10 mg,0.6 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
Spanish Style Rice,$3.69,20 Oz,142 g,220.0,222.0,4,6 g,0.5 g,0 g,0 mg,700 mg,38 g,1 g,0 g,0 g,4 g,0.0 mcg,40 mg,1.8 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
"Solid White Albacore Tuna, No Salt Added",$1.99,5 Oz,4 oz/,130.0,125.0,1,1.0 g,0 g,0 g,40 mg,70 mg,0 g,0 g,0 g,0 g,29 g,1.0 mcg,0 mg,0.9 mg,270 mg,0.5 g,0 g,,,,,,,,,,,,,,,,,,,
"Solid White Albacore Tuna, Salt Added",$1.99,5 Oz,4 oz/,130.0,125.0,1,1.0 g,0 g,0 g,0 mg,360 mg,0 g,0 g,0 g,0 g,29 g,1.0 mcg,0 mg,0.9 mg,270 mg,0.5 g,0 g,,,,,,,,,,,,,,,,,,,
Chicken Gyoza Potstickers,$3.99,16 Oz,80 g,130.0,126.0,6,2.0 g,0 g,0 g,20 mg,250 mg,20 g,1 g,1 g,0 g,7 g,0.0 mcg,20 mg,1.4 mg,120 mg,,,,,,,,,,,,,,,,,,,,,
Gnocchi,$1.99,16 Oz,110 g,170.0,168.5,4,0.5g,0g,0g,0mg,40mg,37g,2g,1g,0g,4g,,,,,,,,,,,,,,,,,,,,,,,,,
Sage Derby,$11.99,1 Lb,28 g,120.0,113.0,,9g,5g,0g,20mg,160mg,1g,0g,0g,0g,7g,,,,,,,,,,,,,,,,,,,,,,,,,
Herbes de Provence,$4.99,2.2 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creamy Toscano Cheese Dusted with Cinnamon,$10.99,1 Lb,28 g,110.0,28.0,,0g,5g,0g,30mg,170mg,0g,0g,0g,0g,7g,,,,,,,,,,,,,,,,,,,,,,,,,
Sea Salt Crystals,$1.99,3.88 Oz,1.2 g,0.0,0.0,92,0 g,,,,470 mg,0 g,,,,0 g,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Bread Crumbs,$2.99,10 Oz,30 g,110.0,105.0,9,1.0 g,0 g,0 g,0 mg,140 mg,21 g,1 g,1 g,0 g,3 g,0.0 mcg,0 mg,0.3 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Autumn Vegetable & White Bean Gratin,$5.99,17 Oz,230 g,600.0,290.0,2,14 g,6 g,0 g,30 mg,570 mg,28 g,5 g,8 g,0 g,13 g,0.1 mcg,300 mg,1.9 mg,530 mg,,,,,,,,,,,,,,,,,,,,,
Organic Brussels Sprouts,$3.69,14 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel Apple Mochi,$4.99,6.8 Oz,192 g,480.0,78.0,1,2.0 g,1.5 g,0 g,5 mg,15 mg,14 g,0 g,10 g,9 g,1 g,0.1 mcg,20 mg,0.1 mg,40 mg,,,,,,,,,,,,,,,,,,,,,
Shishito Peppers,$3.99,6 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Super Sweet Cut Corn,$2.29,16 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiitake Mushrooms,$3.49,3.5 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiitake Mushrooms,$2.79,4 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi-Floral & Clover Honey,$3.99,12 Oz,21 g,60.0,68.0,16,0 g,,,,0 mg,17 g,,17 g,17 g,0g,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Toasted Sesame Oil,$3.49,5 Fl Oz,15 mL,120.0,126.0,10,14 g,2.0 g,0 g,,0 mg,0 g,,,,0 g,,,,,6 g,6 g,,,,,,,,,,,,,,,,,,,
Organic Firm Tofu,$1.49,14 Oz,84 g,70.0,71.5,5,3.5 g,0.5 g,0 g,0 mg,10 mg,2 g,2 g,0 g,0 g,8 g,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Carrots of Many Colors,$1.99,2 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Natural Chicken Drumsticks,$1.99,1 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornbread Stuffing,$5.99,17 Oz,100 g,160.0,168.0,5,8 g,2 g,0 g,5 mg,490 mg,21 g,1 g,5 g,3 g,3 g,0 mcg,10 mg,1.1 mg,90 mg,,,,,,,,,,,,,,,,,,,,,
Fresh Cranberry Orange Relish,$3.99,16 Oz,70 g,110.0,108.0,6,0 g,0 g,0 g,0 mg,0 mg,27 g,2 g,25 g,22 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,
Green Onions,$0.99,6 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imported Olive Oil Packed in Italy,$10.99,33.8 Fl Oz,15 mL,120.0,126.0,68,14 g,2.0 g,0 g,0 mg,0 mg,0 g,0 g,0 g,0 g,0 g,0.0 mcg,0 mg,0.1 mg,0 mg,1.5 g,10 g,,,,,,,,,,,,,,,,,,,
Pasture Raised Large Brown Eggs,$4.99,1 Doz,50 g,70.0,69.0,12,5g,1.5g,0 g,185mg,70mg,0g,0g,0g,0g,6g,,,,,,,,,,,,,,,,,,,,,,,,,
Rutland Red Leicester Cheese,$12.49,1 Lb,28 g,130.0,135.0,,11g,7g,0g,30mg,210mg,1g,0g,0g,0g,8g,,,,,,,,,,,,,,,,,,,,,,,,,
Unexpected Cheddar Cheese Spread,$4.99,9 Oz,28 g,0.0,91.0,9,7 g,4.5 g,0 g,25 mg,240 mg,3 g,1 g,1 g,0 g,4 g,,0 mg,,,,,,,,,,,,,,,,,,,,,,,
White Bean Chicken Chili Soup,$4.99,20 Oz,245 g,400.0,173.0,2.5,5 g,2.0 g,0 g,15 mg,440 mg,23 g,6 g,3 g,0 g,9 g,0.1 mcg,70 mg,1.7 mg,310 mg,,,,,,,,,,,,,,,,,,,,,
Semi-Sweet Chocolate Chunks,$3.49,10 Oz,15 g,80.0,72.0,19,4..5 g,3.0 g,0 g,0 mg,5 mg,8 g,2 g,6 g,6 g,1 g,0.1 mcg,10 mg,0.8 mg,100 mg,,,,,,,,,,,,,,,,,,,,,
Gluten Free Breaded Shrimp,$9.99,12 Oz,113 g,260.0,224.0,3,16 g,7 g,0 g,90 mg,480 mg,13 g,2 g,1 g,0 g,7 g,0 mcg,30 mg,0.4 mg,240 mg,,,,,,,,,,,,,,,,,,,,,
Pumpkin Spiced Joe-Joe's Sandwich Cookies,$4.49,9.4 Oz,24 g,120.0,122.0,11,6 g,4 g,0 g,0 mg,125 mg,16 g,0 g,12 g,11 g,1 g,0 mcg,20 mg,0.3 mg,40 mg,,,,,,,,,,,,,,,,,,,,,
Salted Maple Ice Cream,$3.79,1 Pint,128 g,850.0,293.0,3,17 g,9 g,0 g,105 mg,250 mg,31 g,0 g,29 g,25 g,4 g,0.8 mcg,120 mg,0.3 mg,110 mg,,,,,,,,,,,,,,,,,,,,,
Gluten Free Pumpkin Bread,$5.99,16 Oz,57 g/,190.0,194.0,8,6 g,0.5 g,0 g,40 mg,140 mg,32 g,1 g,18 g,17 g,3 g,0.0 mcg,20 mg,0.9 mg,200 mg,,,,,,,,,,,,,,,,,,,,,
Gluten Free Pumpkin Streusel Muffins,$5.99,14 Oz,99 g,390.0,388.0,4,16 g,2.5 g,0 g,50 mg,290 mg,58 g,2 g,24 g,22 g,3 g,0.5 mcg,50 mg,0.8 mg,190 mg,,,,,,,,,,,,,,,,,,,,,
Caramel Apple Dipping Kit,$6.99,16 Oz,76 g,320.0,322.0,6,14 g,6 g,0 g,5 mg,95 mg,44 g,1 g,25 g,23 g,5 g,0.2 mcg,50 mg,0.4 mg,160 mg,,,,,,,,,,,,,,,,,,,,,
Halloween Joe-Joe's Cookies,$3.99,16 Oz,28 g,140.0,138.0,16,6 g,2.0 g,0 g,0 mg,70 mg,20 g,1 g,12 g,12 g,1 g,0.0 mcg,10 mg,1.1 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Roasted Turkey & Sweet Potato Burrito,$4.49,8 Oz,227 g,470.0,460.0,1,12 g,1.5 g,0 g,20 mg,710 mg,70 g,5 g,10 g,8 g,18 g,0.2 mcg,90 mg,5.0 mg,380 mg,,,,,,,,,,,,,,,,,,,,,
Organic Mini Sweet Peppers,$3.99,1 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinnamon Roll Blondie Bar Baking Mix,$3.99,21 Oz,30 g,160.0,108.0,20,0 g,0 g,0 g,0 mg,90 mg,26 g,0 g,19 g,19 g,1 g,0.0 mcg,10 mg,0.5 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
Pumpkin Cheesecake Croissants,$4.49,7.4 Oz,105 g,290.0,296.0,2,16 g,10 g,0 g,50 mg,340 mg,31 g,2 g,11 g,8 g,7 g,0.1 mcg,90 mg,0.7 mg,80 mg,,,,,,,,,,,,,,,,,,,,,
Stripey Joe,$11.99,1 Lb,28 g,110.0,109.0,,9g,6g,0g,20mg,160mg,1g,0g,0g,0g,6g,,,,,,,,,,,,,,,,,,,,,,,,,
Triple Cream Brie Cheese with Green Peppercorns,$11.99,1 Lb,28 g,120.0,124.0,,12g,8g,0g,30mg,170mg,0g,0g,0g,0g,4g,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Cider Donuts,$4.49,15.9 Oz,75 g,320.0,324.0,6,16 g,7 g,0 g,10 mg,310 mg,41 g,1 g,21 g,20 g,4 g,0.0 mcg,20 mg,1.3 mg,80 mg,,,,,,,,,,,,,,,,,,,,,
Pumpkin Overnight Oats,$1.99,5.5 Oz,156 g,200.0,197.0,1,5.0 g,0.5 g,0 g,0 mg,150 mg,33 g,6 g,12 g,0 g,5 g,0.0 mcg,60 mg,2.0 mg,330 mg,,,,,,,,,,,,,,,,,,,,,
Honey O's Cereal,$2.69,13.5 Oz,41 g,160.0,166.0,9,2.0 g,0 g,0 g,0 mg,210 mg,34 g,2 g,14 g,14 g,3 g,0.0 mcg,10 mg,5.4 mg,90 mg,,,,,,,0.67 mg,,1.6 mg,0.18 mg,40 mcg DFE,25 mcg,,2.2 mg,0.7 mg,110 mg,,,,,
Joe's O's Cereal,$1.99,12 Oz,41 g,160.0,166.5,10,2.5 g,0.5 g,0 g,0 mg,170 mg,31 g,4 g,2 g,2 g,5 g,0.0 mcg,20 mg,8.1 mg,130 mg,,,,,2 g,1 g,0.72 mg,,2.4 mg,0.25 mg,40 mcg DFE,25 mcg,,2.7 mg,0.7 mg,180 mg,,,,,
Just The Clusters Maple Pecan Granola Cereal,$3.79,16 Oz,64 g,290.0,299.0,7,11 g,1.0 g,0 g,0 mg,80 mg,45 g,4 g,16 g,16 g,5 g,0.0 mcg,30 mg,1.5 mg,150 mg,,,,,,,,,,,,,,,,,,,,,
Organic Italian Cascatelli Pasta,$2.99,16 Oz,56 g,200.0,200.0,8,0 g,0 g,0 g,0 mg,0 mg,43 g,1 g,1 g,0 g,7 g,0.0 mcg,10 mg,0.6 mg,100 mg,,,,,,,,,,,,,,,,,,,,,
Gochujang Paste,$1.99,7.05 Oz,7 g,15.0,16.0,29,0 g,0 g,0 g,0 mg,170 mg,4 g,0 g,,2 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,
Pretzel Slims,$2.49,8 Oz,28 g,110.0,108.5,8,0.5 g,0 g,0 g,0 mg,280 mg,23 g,1 g,1 g,1 g,3 g,0 mcg,10 mg,1.3 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Simply Eggless Plant Based Egg,$4.99,16 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Pineapple Chunks,$2.99,15 Oz,142 g,90.0,92.0,3,0g,0g,0g,0mg,0mg,22g,1g,21g,0g,1g,,,,,,,,,,,,,,,,,,,,,,,,,
Mascarpone,$3.99,8 Oz,1 /,60.0,67.0,16,7 g,5 g,0 g,20 mg,5 mg,0 g,0 g,0 g,0 g,1 g,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Curd,$3.99,10.5 Oz,30 g,100.0,102.5,10,2.5 g,2 g,0 g,30 mg,20 mg,19 g,0 g,19 g,18 g,1 g,,,,,,,,,,,,,,,,,,,,,,,,,
Sliced Prosciutto,$3.99,4 Oz,28 g,110.0,83.0,4,7g,3g,0g,30mg,720mg,0g,0g,0g,0 g,5 g,,,,,,,,,,,,,,,,,,,,,,,,,
Sriracha Flavored Baked Tofu,$3.99,7 Oz,99 g,140.0,147.0,2,7 g,1 g,0 g,0 mg,440 mg,6 g,1 g,2 g,,15 g,,,,,,,,,,,,,,,,,,,,,,,,,
Shawarma Chicken Thighs,$6.99,1 Lb,112 g,160.0,159.0,,7 g,1.5 g,0 g,100 mg,440 mg,3 g,0 g,0 g,0 g,21 g,0 mcg,20 mg,1.2 mg,290 mg,,,,,,,,,,,,,,,,,,,,,
Creamy Cauliflower Mash,$3.99,12 Oz,115 g,140.0,145.0,3,13g,8g,0g,35mg,330mg,5g,2g,3g,0g,2g,,,,,,,,,,,,,,,,,,,,,,,,,
Banana Pudding Flavored Ice Cream,$3.79,1 Pint,128 g,910.0,304.0,3,16 g,9 g,0 g,70 mg,115 mg,36 g,0 g,29 g,23 g,4 g,0.6 mcg,120 mg,0.4 mg,170 mg,,,,,,,,,,,,,,,,,,,,,
Uncured Dry Rubbed Sliced Bacon,$5.99,12 Oz,12 g,60.0,43.0,7,3 g,1.5 g,0 g,10 mg,220 mg,0 g,0 g,0 g,,4 g,,,,,,,,,,,,,,,,,,,,,,,,,
Baby Shanghai Bok Choy,$3.99,6.3 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Tsao Stir Fry Sauce,$3.49,12.35 Oz,72 g,150.0,149.0,5,1 g,0 g,0 g,0 mg,780 mg,35 g,0 g,35 g,28 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Whole Milk Greek Yogurt,$0.99,5.3 Oz,150 g,150.0,148.0,1,8 g,4.5 g,0 g,30 mg,60 mg,6 g,0 g,4 g,0 g,13 g,,,,,,,,,,,,,,,,,,,,,,,,,
Nonfat Plain Greek Yogurt,$0.99,5.3 Oz,150 g,90.0,84.0,1,0 g,0 g,0 g,10 mg,65 mg,6 g,0 g,4 g,0 g,15 g,,,,,,,,,,,,,,,,,,,,,,,,,
Green Goddess Gouda,$9.49,1 Lb,28 g,90.0,91.0,,7g,4.5g,0g,25mg,260mg,1g,0g,0,0g,6g,,,,,,,,,,,,,,,,,,,,,,,,,
Turkeyless Ground,$3.99,12 Oz,113 g,700.0,236.0,3,12 g,5 g,0 g,0 mg,440 mg,11 g,3 g,1 g,0 g,21 g,0.1 mcg,10 mg,4.1 mg,440 mg,,,,,,,,,,,,,,,,,,,,,
Instant Boba Kit,$4.99,9.2 Oz,65 g,110.0,112.0,4,0 g,0 g,0 g,0 mg,5 mg,28 g,0 g,18 g,0 g,0 g,0 mcg,20 mg,0.3 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Hot & Sweet Jalapeños,$3.29,12 Fl Oz,28 g/ about,40.0,36.0,6,0 g,0 g,0 g,0 mg,320 mg,9 g,0 g,9 g,9 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetable Biryani with Vegetable Dumplings,$2.99,10 Oz,142 g,420.0,218.0,2,6 g,0.5 g,0 g,0 mg,690 mg,36 g,6 g,3 g,1 g,5 g,0 mcg,30 mg,1.1 mg,240 mg,,,,,,,,,,,,,,,,,,,,,
Russet Potatoes,$0.79,1 Each,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiave d' Oro Raw Milk Hard Cheese,$3.49,5 Oz,1 oz(28g 1 inch cube,130.0,126.0,5,10 g,6 g,0 g,30 mg,240 mg,2 g,0 g,0 g,0 g,7 g,,,,,,,,,,,,,,,,,,,,,,,,,
Jalapeño and Honey Chevre,$2.99,5 Oz,28 g,80.0,82.0,5,6 g,4 g,0 g,20 mg,75 mg,3 g,0 g,3 g,2 g,4 g,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Hickory Smoked Turkey Breast,$5.99,6 Oz,56 g,60.0,57.0,3,1 g,0 g,0 g,30 mg,400 mg,0 g,0 g,0 g,0 g,12 g,,,,,,,,,,,,,,,,,,,,,,,,,
