,name,price,package_size,serving_size,calculated_calories,Total Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin D,Calcium,Iron,Potassium
1315,Vegan Mint & Chip Bon Bons,$4.49,5.64 Oz,160 g,578.0,42 g,0 mg,40 mg,47 g,3 g,42 g,3 g,0 mcg,20 mg,4.2 mg,440 mg
1316,Brie en Croûte,$7.49,12 Oz,85 g,331.0,27 g,50 mg,400 mg,12 g,0 g,0 g,10 g,0.1 mcg,190 mg,2.3 mg,20 mg
1317,Crispy Vegetable Pouches,$4.49,6.8 Oz,80 g,488.0,24 g,0 mg,1040 mg,60 g,6 g,6 g,8 g,0 mcg,30 mg,3.5 mg,360 mg
1318,Fried Olive Bites,$4.79,8 Oz,77 g,645.0,41 g,30 mg,2630 mg,59 g,10 g,9 g,10 g,0 mcg,150 mg,1.7 mg,150 mg
1319,Organic Taralli and Friends Crackers,$3.29,12 Oz,28 g,129.0,5 g,0 mg,250 mg,18 g,0 g,2 g,3 g,0 mcg,150 mg,0.3 mg,50 mg
1320,Ground Fermented Black Garlic,$2.99,1.02 Oz,,0.0,,,,,,,,,,,
1321,Focaccia Bread Mix,$2.99,12.3 Oz,29 g,150.0,6 g,0 mg,290 mg,21 g,2 g,1 g,3 g,0 mcg,10 mg,1.2 mg,30 mg
1322,Organic Young Turkey Free Range,$3.99,1 Lb,112 g,150.0,6 g,80 mg,125 mg,0 g,0 g,0 g,24 g,13.4 mcg,10 mg,1.0 mg,250 mg
1323,All Natural Glatt Kosher Young Turkey,$3.49,1 Lb,,0.0,,,,,,,,,,,
1324,All Natural Brined Young Turkey (12-16 lbs),$2.49,1 Lb,,0.0,,,,,,,,,,,
1325,All Natural Brined Young Turkey (18-22 lbs),$2.49,1 Lb,,0.0,,,,,,,,,,,
1326,Organic Dried & Pitted Deglet Noor Dates,$2.99,8 Oz,40 g,128.0,0 g,0 mg,0 mg,30 g,3 g,25 g,2 g,0 mcg,20 mg,0.4 mg,260 mg
1327,Wine Infused Sea Salt Grinder,$4.99,12.7 Oz,0.5 g,0.0,0g,,160mg,0g,,,0g,,,,
1328,Parmigiano Reggiano Aged 40 Months,$17.99,1 Lb,28 g,108.0,8g,25mg,180mg,0g,0g,0g,9g,,,,
1329,Cut Butternut Squash,$4.99,2 Lb,,0.0,,,,,,,,,,,
1330,Autumnal Pie Truffles,$4.49,4.4 Oz,31 g,176.0,12 g,10 mg,25 mg,15 g,2 g,14 g,2 g,0.2 mcg,30 mg,0.8 mg,60 mg
1331,Coins of the World,$1.99,4 Oz,30 g,156.0,8 g,5 mg,15 mg,19 g,2 g,18 g,2 g,,,,
1332,Fresh Organic Cranberries,$1.99,8 Oz,,0.0,,,,,,,,,,,
1333,Brussels Sprouts,$4.99,2 Lb,,0.0,,,,,,,,,,,
1334,Fresh Cranberry Sauce,$3.99,16 Oz,70 g,108.0,0 g,0 mg,0 mg,27 g,2 g,25 g,0 g,,,,
1335,"Spiral Sliced Uncured Ham, Half",$4.99,1 Lb,56 g,115.0,7 g,40 mg,630 mg,2 g,2 g,2 g,11 g,0.2 mcg,10 mg,0.5 mg,210 mg
1336,"Spiral Sliced Uncured Ham, Quarter",$5.99,1 Lb,56 g,115.0,7 g,40 mg,630 mg,2 g,2 g,2 g,11 g,0.2 mcg,10 mg,0.5 mg,210 mg
1337,Thanksgiving Stuffing Seasoned Kettle Chips,$2.99,6 Oz,28 g,134.0,6 g,0 mg,135 mg,18 g,1 g,2 g,2 g,0 mcg,10 mg,0.5 mg,380 mg
1338,Gingerbread Turkey Trot Cookie Decorating Kit,$6.99,20.8 Oz,30 g,115.0,3.0 g,0 mg,60 mg,21 g,0 g,13 g,1 g,0.1 mcg,10 mg,0.6 mg,30 mg
1339,Milk Chocolate Advent Calendar,$1.29,1.76 Oz,50 g,271.0,15 g,5 mg,20 mg,31 g,1 g,26 g,3 g,0 mcg,70 mg,0.9 mg,160 mg
1340,Nuts About Rosemary Mix,$7.99,12 Oz,30 g,188.0,16 g,0 mg,140 mg,6 g,3 g,2 g,5 g,,,,
1341,Brined Bone-In Half Turkey Breast Fully Cooked,$9.99,1 Lb,85 g,94.5,2.5 g,45 mg,390 mg,1 g,0 g,2 g,17 g,0.1 mcg,10 mg,0.5 mg,180 mg
1342,Organic Free Range Chicken Stock,$2.29,32 Fl Oz,8 fl oz,8.0,0 g,0 mg,380 mg,0 g,0 g,0 g,2 g,0 mcg,10 mg,0 mg,30 mg
1343,Graham Cracker Squares,$3.49,14.1 Oz,28 g,123.0,3 g,0 mg,125 mg,22 g,1 g,7 g,2 g,0 mcg,10 mg,0.8 mg,50 mg
1344,"Butter Quarters, Unsalted",$3.99,16 Oz,14 g,99.0,11 g,30 mg,0 mg,0 g,0 g,0 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg
1345,"Butter Quarters, Salted",$3.99,16 Oz,14 g,99.0,11 g,30 mg,90 mg,0 g,0 g,0 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg
1346,Organic Gold Potatoes,$3.99,3 Lb,,0.0,,,,,,,,,,,
1347,Harvest Apple Salad Kit,$3.99,9.2 Oz,100 g,460.0,32 g,15 mg,450 mg,35 g,6 g,26 g,8 g,0.4 mcg,250 mg,2.6 mg,760 mg
1348,Four Cheese Scalloped Potatoes,$5.99,17 Oz,1/2 cup,172.0,8g,25mg,340mg,20g,2g,3g,5g,0.1mcg,130mg,0.4mg,290mg
1349,Peri Peri Sauce,$3.49,6.76 Fl Oz,5 mL,9.0,1.0 g,0 mg,90 mg,0 g,0 g,0 g,0 g,,,,
1350,Organic Naan Crackers,$3.49,10 Oz,10 crackers 30g,129.0,5.0 g,0 mg,250 mg,19 g,2g g,2g g,2 g,0.0 mcg,10 mg,1.2 mg,30 mg
1351,Gluten Free Stuffing Mix,$6.49,12.4 Oz,29 g,211.0,11g,35mg,370mg,24g,0g,5g,4g,0mcg,160mg,2mg,49mg
1352,Cornbread Stuffing Mix,$4.99,12.4 Oz,29 g,177.0,9 g,20 mg,420 mg,20 g,0 g,2 g,4 g,0 mcg,20 mg,2 mg,70 mg
1353,Condensed Cream of Portabella Mushroom Soup,$1.99,11 Oz,120 mL,80.5,4.5 g,10 mg,600 mg,8 g,0 g,2 g,2 g,,,,
1354,All Butter Puff Pastry Sheets,$4.99,18 Oz,32 g,124.0,8 g,25 mg,150 mg,11 g,0 g,0 g,2 g,0.1 mcg,10 mg,0.2 mg,20 mg
1355,All Butter Puff Pastry Sheets,$4.99,18.3 Oz,,0.0,,,,,,,,,,,
1356,Cranberry Sauce,$2.99,12 Oz,70 g,92.0,0 g,0 mg,5 mg,23 g,2 g,20 g,0 g,,,,
1357,Turkey Gravy,$1.69,17.6 Oz,60 g,16.5,0.5 g,0 mg,230 mg,3 g,0 g,0 g,0 g,0 mcg,10 mg,0.1 mg,20 mg
1358,12 Cranberry Orange Bars,$4.99,10.5 Oz,50 g,160.0,8g,55g,70mg,20g,0g,14g,2g,0.2mcg,10mg,0.2mg,20mg
1359,Mini Marshmallows,$2.99,10 Oz,28 g,96.0,0 g,0 mg,20 mg,24 g,0 g,17 g,0 g,0 mcg,0 mg,0 mg,20 mg
1360,Nantucket Style Cranberry Pie,$6.99,16.5 Oz,78 g,282.0,14 g,55 mg,115 mg,36 g,0 g,28 g,3 g,0.2 mg,20 mg,0.4 mg,60 mg
1361,Holiday Vegetable Hash,$4.99,18 Oz,85 g,52.0,0 g,0 mg,30 mg,11 g,2 g,3 g,2 g,,,,
1362,White Stilton with Cranberries,$11.99,1 Lb,,0.0,,,,,,,,,,,
1363,Green Bean Casserole Bites,$3.99,4.8 Oz,136 g,285.0,17g,40mg,580mg,25g,2g,2g,8g,0.2mcg,150mg,1.6,150mg
1364,Fleur de Sel Caramel Sauce,$3.99,10 Oz,19 g,57.5,1.5 g,5 mg,55 mg,11 g,0 g,9 g,0 g,0 mcg,7 mg,0 mg,9 mg
1365,Whole Grain Dijon Mustard,$1.99,12.3 Oz,5 g,4.5,0.5 g,,80 mg,0 g,,,0 g,,,,
1366,Dijon Mustard,$1.99,13 Oz,5 g,4.5,0.5 g,,105 mg,0 g,,,0 g,,,,
1367,Bananas,$0.23,1 Each,,0.0,,,,,,,,,,,
1368,Organic Tricolor Spaghetti,$2.49,16 Oz,56 g/,197.0,1 g,0 mg,0 mg,40 g,2 g,2 g,7 g,0 mcg,20 mg,0.6 mg,190 mg
1369,Gourmet Fried Onion Pieces,$2.99,8 Oz,7 g,39.0,3 g,0 mg,35 mg,3 g,0 g,0 g,0 g,0 mcg,3.4 mg,0 mg,27 mg
1370,Breaded Turkey-less Stuffed Roast,$14.99,2.5 Lb,123 g,356.0,16 g,0 mg,960 mg,27 g,3 g,4 g,26 g,0 mcg,50 mg,3.8 mg,270 mg
1371,Scallopini Potatoes,$4.49,18 Oz,140 g,190.0,10 g,25 mg,570 mg,18 g,2 g,3 g,7 g,0 mcg,180 mg,0.2 mg,440 mg
1372,Everything But The Leftovers Seasoning Blend,$2.99,2.6 Oz,1.2 g,0.0,0 g,,160 mg,0 g,,,0 g,,,,
1373,Truffle Salami,$4.99,5 Oz,28 g,95.0,7g,25mg,360mg,0g,0g,0g,8g,,,,
1374,Cranberry Chèvre Goat Cheese,$4.99,8 Oz,28 g,76.5,4.5g,20mg,75mg,5g,0g,3g,4g,,,,
1375,Brussels Sprouts Sauté Kit,$4.69,13 Oz,85 g,142.0,10 g,10 mg,105 mg,8 g,3 g,3 g,5 g,0 mcg,90 mg,1.1 mg,280 mg
1376,Indian Style Garlic Achaar sauce,$2.69,6.8 Oz,16 g,47.5,3.5g,0mg,125mg,4g,2g,2g,0g,,,,
1377,Pie Crusts,$4.49,22 Oz,39 g,193.0,13 g,5 mg,40 mg,17 g,0 g,2 g,2 g,0 mcg,0 mg,1.0 mg,20 mg
1378,Creamed Greens,$5.99,16 Oz,124 g,131.0,7 g,15 mg,440 mg,11 g,4 g,4 g,6 g,0.6 mcg,120 mg,0.7 mg,190 mg
1379,Italian Capellini,$0.99,1 Lb,,0.0,,,,,,,,,,,
1380,Italian Linguine,$0.99,1 Lb,,0.0,,,,,,,,,,,
1381,Spaghetti,$0.99,1 Lb,,0.0,,,,,,,,,,,
1382,Italian Farfalle,$1.29,1 Lb,,0.0,,,,,,,,,,,
1383,"Italian 

Penne Rigate",$0.99,1 Lb,,0.0,,,,,,,,,,,
1384,Hearts of Palm Pasta,$3.49,9 Oz,85 g,64.0,0 g,0 mg,0 mg,13 g,5 g,3 g,3 g,0 mcg,90 mg,0.4 mg,400 mg
1385,Sour Jelly Beans,$2.49,4 Oz,30 g,112.0,0 g,0 mg,0 mg,28 g,0 g,22 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg
1386,Bamba with Hazelnut Creme Filling,$1.99,3 Oz,28 g,456.0,24 g,0 mg,160 mg,51 g,3 g,21 g,9 g,0 mcg,90 mg,1.1 mg,240 mg
1387,Kale & Cauliflower Chili,$3.99,24 Oz,250 g,582.0,26 g,0 mg,1620 mg,70 g,21 g,22 g,17 g,0 mcg,310 mg,6.6 mg,1930 mg
1388,Baby Corn,$2.29,6 Oz,,0.0,,,,,,,,,,,
1389,Spicy Jollof Seasoned Rice Mix,$2.69,8 Oz,56 g,230.5,2.5 g,10 mg,270 mg,47 g,2 g,2 g,5 g,0 mcg,50 mg,2.0 mg,160 mg
1390,Pumpkin Spice Batons,$2.29,5 Oz,24 g,118.0,6 g,0 mg,40 mg,15 g,0 g,9 g,1 g,0.0 mcg,20 mg,0.6 mg,40 mg
1391,Maple & Sea Salt Kettle Corn,$2.99,7 Oz,30 g,145.0,5.0 g,0 mg,220 mg,23 g,1 g,16 g,2g,0.0 mcg,0 mg,0.3 mg,30 mg
1392,Butternut Squash Mac & Cheese,$3.79,12 Oz,170 g,545.0,17 g,45 mg,950 mg,75 g,4 g,8 g,23 g,0.7 mcg,350 mg,4.0 mg,190 mg
1393,Green Goddess Seasoning Blend,$2.99,2 Oz,1 g,8.0,0 g,,95 mg,2 g,,,0 g,,,,
1394,Dry Roasted Maple Almonds,$5.99,12 Oz,33 g,190.0,14 g,0 mg,220 mg,10 g,3 g,5 g,6 g,0 mcg,80 mg,1.0 mg,200 mg
1395,Spooky Bats & Cats Sour Gummy Candies,$3.49,14 Oz,28 g,104.0,0g,0mg,15mg,26g,0g,20g,0g,0mcg,0mg,0mg,0mg
1396,Maple Walnut Biscotti,$4.49,8 Oz,27 g,112.5,4.5 g,20 mg,40 mg,16 g,0 g,8 g,2 g,0 mcg,20 mg,0.7 mg,30 mg
1397,Pumpkin Empanadas,$3.99,9.6 Oz,68 g,162.0,6 g,15 mg,95 mg,22 g,2 g,2 g,5 g,0 mcg,10 mg,1.3 mg,100 mg
1398,Pumpkin Alfredo Sauce,$3.49,14.5 Oz,60 g,90.0,6g,15mg,370mg,8g,1g,2g,1g,,,,
1399,Pumpkin Blondie Brownies,$4.99,9 Oz,32 g,109.0,5 g,20 mg,150 mg,14 g,0 g,10 g,2 g,0.1 mcg,30 mg,0.5 mg,40 mg
1400,Raclette Sliced Cheese,$6.99,8.8 Oz,28 g/,100.0,8 g,25 mg,220 mg,0 g,0 g,0 g,7 g,,,,
1401,Kimchi & Tofu Soup,$3.49,12.35 Oz,350 g,270.0,6 g,0 mg,980 mg,43 g,4 g,14 g,11 g,0 mcg,90 mg,2.3 mg,330 mg
1402,Chili Sesame Oil,$2.69,3.38 Oz,14 g,112.0,12 g,0 mg,0 mg,1 g,2 g,0 g,0 g,,,,
1403,Mini Spicy Pumpkin Samosas,$4.29,8.5 Oz,80 g,515.0,23 g,15 mg,1010 mg,60 g,6 g,8 g,17 g,0 mcg,190 mg,3.4 mg,380 mg
1404,Pumpkin Spiced Teeny Tiny Pretzels,$3.49,6 Oz,31 g,155.0,7 g,0 mg,210 mg,21 g,2 g,13 g,2 g,0 mcg,30 mg,0.5 mg,80 mg
1405,Pumpkin Spice Espresso Beans,$0.99,2.5 Oz,35 g,377.0,21 g,15 mg,55 mg,43 g,2 g,38 g,4 g,0.1 mcg,130 mg,0.5 mg,250 mg
1406,Kalamata Olives with Jalapeños & Peri Peri Peppers,$2.49,12.67 Oz,15 g,36.0,4g,0mg,180mg,0g,0g,0g,0g,,,,
1407,Maple Poffertjes,$3.49,10.76 Oz,112 g,1141.0,61g,175mg,1060mg,131g,3g,64g,17g,0 mcg,180mg,1.6mg,570mg
1408,Japchae Korean Glass Noodles & Vegetable Stir Fry,$3.49,10.05 Oz,142 g,379.0,11 g,0 mg,1120 mg,68 g,4 g,15 g,2 g,1.6 mcg,60 mg,1.5 mg,280 mg
1409,White Chocolate Baking Chips,$2.99,10 Oz,15 g,84.0,4 g,0 mg,10 mg,10 g,0 g,10 g,2 g,0.2 mcg,20 mg,0 mg,30 mg
1410,Honey Roasted Pumpkin Ravioli,$3.99,9 Oz,255g,565.0,13 g,45 mg,410 mg,92 g,7 g,9 g,20 g,0 mcg,230 mg,3 mg,485 mg
1411,Caramel Sea Salt Baking Chips,$3.49,10 Oz,15 g,76.0,4 g,0 mg,65 mg,10 g,0 g,10 g,0 g,0 mcg,10 mg,0.1 mg,30 mg
1412,Butternut Squash Mac & Cheese Bites,$3.99,10 Oz,85 g,236.0,16g,45mg,320mg,18g,1g,2g,5g,0.2mcg,110mg,0.9mg,150mg
1413,Haunted House Chocolate Cookie Kit,$9.99,38.45 Oz,30 g,115.5,3.5 g,0 mg,40 mg,20 g,2g,12 g,1 g,0.1 mcg,0 mg,0.6 mg,30 mg
1414,Pumpkin Cranberry Crisps,$3.99,5.3 Oz,30 g,81.5,1.5 g,0 mg,125 mg,15 g,1 g,7 g,2 g,0 mcg,20 mg,0.7 mg,40 mg
1415,Pumpkin Bisque,$4.99,25 Oz,252 g,391.0,27 g,30 mg,770 mg,33 g,4 g,22 g,4 g,,,,
1416,Autumnal Harvest Soup,$4.99,25 Oz,245 g,156.0,8 g,25 mg,740 mg,19 g,4 g,11 g,2 g,0 mcg,60 mg,1 mg,510 mg
1417,Gluten Free Pumpkin Bread & Muffin Baking Mix,$4.49,17.5 Oz,31 g,188.0,8 g,25 mg,240 mg,27 g,2 g,16 g,2 g,0.1 mcg,10 mg,0.7 mg,60 mg
1418,Pumpkin Bread & Muffin Mix,$3.49,17.5 Oz,31 g,184.0,8g,25mg,230mg,26g,2g,14g,2g,0.1mcg,10mg,0.9mg,40mg
1419,Pumpkin Cheesecake,$7.99,30 Oz,142 g,441.0,25 g,80 mg,250 mg,48 g,1 g,33 g,6 g,0.2 mcg,70 mg,1 mg,160 mg
1420,Pumpkin Ice Cream,$4.99,1 Qt,133 g,297.0,13 g,60 mg,75 mg,41 g,0 g,38 g,4 g,0.5 mcg,120 mg,0.2 mg,110 mg
1421,Pumpkin Butternut Squash Bisque,$4.49,20 Oz,245 g,259.0,11 g,20 mg,1750 mg,37 g,6 g,19 g,3 g,0.1 mcg,110 mg,2.2 mg,670 mg
1422,Pumpkin Spice Hummus,$2.49,8 Oz,28 g,70.5,2.5g,0mg,40mg,10g,1g,7g,2g,,,,
1423,Autumnal Harvest Creamy Pasta Sauce,$3.99,25 Oz,125 g,106.0,6 g,20 mg,500 mg,12 g,2 g,8 g,1 g,0 mcg,30 mg,0.7 mg,290 mg
1424,Greek Nonfat Pumpkin Yogurt,$0.99,5.3 Oz,150 g,128.0,0 g,5 mg,70 mg,20 g,0 g,17 g,12 g,0.6 mcg,130 mg,0.3 mg,200 mg
1425,Organic Pumpkin Spice Creamy Cashew Yogurt Alternative,$1.79,5.3 Oz,150 g,142.0,6 g,0 mg,10 mg,19 g,1 g,12 g,3 g,0 mcg,20 mg,0.2 mg,40 mg
1426,Sweet Cinnamon Filled Korean Pancakes,$4.49,12.7 Oz,90 g,284.0,8 g,0 mg,180 mg,49 g,3 g,27 g,4 g,1 mcg,20 mg,0.7 mg,80 mg
1427,Canestrato Pepato,$11.99,1 Lb,28 g,109.0,9g,25mg,270mg,0g,0g,0g,7g,,,,
1428,Rosemary Sfogliette Crackers,$1.69,6.35 Oz,30 g,142.0,6 g,0 mg,320 mg,19 g,2 g,1 g,3 g,0 mcg,10 mg,0.3 mg,50 mg
1429,Holiday Round Challah,$3.99,16 Oz,,0.0,,,,,,,,,,,
1430,Holiday Challah,$3.99,20 Oz,,0.0,,,,,,,,,,,
1431,Maple Pecan Clusters Cereal,$4.49,20 Oz,53 g,235.0,7 g,0 mg,140 mg,39 g,3 g,11 g,4 g,0 mcg,0 mg,1.1 mg,120 mg
1432,Organic Veggie Bites,$3.69,12.5 Oz,84 g,176.0,8 g,0 mg,380 mg,22 g,4 g,2 g,4 g,0.0 mcg,50 mg,0.9 mg,250 mg
1433,Spatchcocked Lemon Rosemary Chicken,$5.99,1 Lb,112 g,234.0,18 g,70 mg,380 mg,1 g,0 g,2 g,17 g,0.2 mcg,10 mg,0.7 mg,180 mg
1434,Spicy Uncured Charcuterie Collection,$8.99,9 Oz,55 g,146.0,10 g,50 mg,1030 mg,2 g,2 g,2 g,12 g,0 mcg,0 mg,0.9 mg,270 mg
1435,Cinnamon Brooklyn Babka,$5.99,18 Oz,55 g,210.0,10 g,30 mg,150 mg,26 g,2 g,7 g,4 g,1.2 mcg,10 mg,1 mg,50 mg
1436,Les Petites Carrots of Many Colors,$4.29,16 Oz,84 g,36.0,0 g,0 mg,65 mg,7 g,2 g,4 g,2g g,,27.2 mg,0.7565 mg,200 mg
1437,Murasaki Sweet Potatoes,$4.99,3 Lb,,0.0,,,,,,,,,,,
1438,Honeycrisp Apples,$1.29,1 Each,,0.0,,,,,,,,,,,
1439,Italian Style Meatballs,$4.99,16 Oz,71 g,244.0,20 g,65 mg,450 mg,5 g,1 g,2 g,11 g,,,,
1440,Cheddar Cheese with Scotch Bonnet Chili Peppers,$9.99,1 Lb,28 g,113.0,9g,30mg,140mg,2g,2g,1g,6g,,,,
1441,Tofu Scramble with Soy Chorizo,$3.99,10 Oz,284 g,393.0,21 g,0 mg,980 mg,26 g,5 g,5 g,25 g,0 mcg,220 mg,7.2 mg,620 mg
1442,Vegan Cream Cheese Alternative,$2.99,8 Oz,28 g,97.0,9 g,0 mg,160 mg,4 g,0 g,0 g,0 g,,,,
1443,Crispy Peanut Butter Filled Milk Choc Peanuts,$2.99,4.94 Oz,30 g,171.0,11 g,10 mg,85 mg,14 g,2 g,12 g,4 g,0 mcg,50 mg,0.5 mg,140 mg
1444,Sublime Ice Cream Sandwiches,$4.99,20 Fl Oz,110 g,395.0,19 g,40 mg,150 mg,51 g,2g,34 g,5 g,0.0 mcg,60 mg,1.6 mg,80 mg
1445,Mandarin Orange Chicken,$4.99,22 Oz,140 g,324.0,16g,95mg,330mg,24g,1g,6g,21g,,,,
1446,Dark Chocolate Peanut Butter Cups,$4.99,16 Oz,25 g,145.0,9 g,0 mg,75 mg,14 g,1 g,11 g,2 g,,,,
1447,Organic Corn Chip Dippers,$2.49,9.75 Oz,28 g,162.0,10g,0mg,125mg,16g,1g,0g,2g,0mcg,0mg,0.4mg,0mg
1448,Peanut Butter Filled Pretzel Nuggets,$2.49,16 Oz,31 g,151.0,7 g,0 mg,240 mg,17 g,1 g,2 g,5 g,0 mcg,20 mg,1.5 mg,110 mg
1449,Unexpected Cheddar Cheese,$3.99,7 Oz,28 g/ about,117.0,9 g,25 mg,180 mg,2 g,0 g,0 g,7 g,,,,
1450,Cheddar Cheese with Caramelized Onions,$9.99,1 Lb,28 g,109.0,9g,20mg,190mg,1g,0g,1g,6g,,,,
1451,Everything But The Bagel Sesame Seasoning Blend,$1.99,2.3 Oz,1 g,0.0,0 g,,80 mg,0 g,,,0 g,,,,
1452,Joe's Diner Mac 'n Cheese,$2.99,14 Oz,,0.0,,,,,,,,,,,
1453,Organic Stone Ground Blue Corn Taco Shells,$2.49,5.5 Oz,26 g,131.0,7 g,0 mg,0 mg,15 g,2 g,0 g,2 g,0 mcg,20 mg,0.5 mg,60 mg
1454,Cacio E Pepe Pasta Sauce,$3.79,14.5 Oz,,0.0,,,,,,,,,,,
1455,Organic Black Beans,$1.19,15.5 Oz,125 g,76.0,0 g,0 mg,130 mg,14 g,3 g,0 g,5 g,0 mcg,30 mg,1.1 mg,330 mg
1456,Sweet Baby Thompson Seedless Grapes,$2.99,1 Each,,0.0,,,,,,,,,,,
1457,Carolina Gold Style BBQ Ridge Cut Potato Chips,$2.69,7 Oz,28 g,143.0,7 g,0 mg,50 mg,18 g,1 g,2 g,2 g,0.0 mcg,10 mg,0.3 mg,300 mg
1458,Shredded Parmesan Cheese Alternative,$3.99,8 Oz,28 g/,95.0,7 g,0 mg,380 mg,8 g,0 g,0 g,0 g,0 mcg,0 mg,0 mg,10 mg
1459,Cold Brew Coffee BBQ Sauce,$2.99,19.2 Oz,36 g,44.0,0 g,0 mg,240 mg,11 g,2 g,9 g,0 g,0.0 mcg,20 mg,0.4 mg,130 mg
1460,Ube Mochi,$4.99,6.8 Oz,192 g,473.0,13 g,40 mg,65 mg,84 g,3 g,62 g,5 g,0 mcg,110 mg,0 mg,220 mg
1461,Chevre Goat Cheese,$2.99,5 Oz,28 g,82.0,6 g,25 mg,80 mg,2 g,0 g,2 g,5 g,,,,
1462,Oven Toasted Old Fashioned Organic Oats,$2.99,18 Oz,43 g,162.5,2.5 g,0 mg,0 mg,29 g,4 g,0 g,6 g,0 mcg,20 mg,1.5 mg,140 mg
1463,Shelled Edamame,$3.99,9 Oz,85 g,314.0,10 g,0 mg,480 mg,29 g,19 g,2 g,27 g,0 mcg,150 mg,6.5 mg,740 mg
1464,Vegan Ranch Crunch Salad Kit,$3.49,13 Oz,100 g,147.0,11 g,0 mg,190 mg,9 g,3 g,3 g,3 g,0 mcg,50 mg,0.9 mg,260 mg
1465,Southwestern Chopped Salad Kit,$3.49,13.6 Oz,100 g,160.0,12 g,5 mg,220 mg,8 g,2 g,3 g,5 g,0 mcg,80 mg,1.1 mg,230 mg
1466,Gluten Free English Muffins,$4.49,10.8 Oz,77 g,145.0,1 g,0 mg,340 mg,30 g,2 g,3 g,4 g,0 mcg,10 mg,0.6 mg,100 mg
1467,Organic Ketchup,$2.49,24 Oz,,0.0,,,,,,,,,,,
1468,Organic Yellow Mustard,$1.79,9 Oz,5 g,0.0,0 g,,50 mg,0 g,,,0 g,,,,
1469,Organic Coleslaw Kit,$2.99,10 Oz,100 g,390.0,26 g,50 mg,400 mg,35 g,5 g,28 g,4 g,0.4 mcg,100 mg,1.7 mg,470 mg
1470,Hold the Dairy! Vegan Chocolate Mini Cones,$3.99,8.04 Oz,114 g,730.0,34 g,0 mg,105 mg,96 g,3 g,57 g,10 g,0 mcg,40 mg,14.8 mg,650 mg
1471,Pimento Cheese Dip,$3.99,8 Oz,32 g,101.0,9g,20mg,190mg,1g,0g,0g,4g,,,,
1472,Fig & Olive Crisps,$3.99,5.3 Oz,30 g,90.0,2 g,0 mg,160 mg,16 g,1 g,7 g,2 g,0 mcg,20 mg,0.4 mg,10 mg
1473,Crispy Crunchy Champignon Mushroom Snacks,$3.99,2 Oz,57 g,350.0,26 g,0 mg,240 mg,25 g,3 g,3 g,4 g,2.0 mcg,20 mg,0.6 mg,280 mg
1474,Turkey Burgers,$3.79,16 Oz,112 g/,178.0,10g,80mg,280mg,0g,0g,0g,22g,,,,
1475,Nectarines,$7.99,4 Lb,,0.0,,,,,,,,,,,
1476,Everything And the Elote Greek Style Yogurt Dip,$3.79,8 Oz,31 g,56.0,4 g,10 mg,170 mg,4 g,0 g,2 g,1 g,,,,
1477,White Sliced Bread,$1.99,22 Oz,,0.0,,,,,,,,,,,
1478,Vegan Banana Bread with Walnuts,$5.49,16 Oz,57 g/,209.0,9 g,0 mg,125 mg,30 g,2g g,17 g,2 g,,,,
1479,Whole Wheat Sliced Bread,$2.49,22 Oz,,0.0,,,,,,,,,,,
1480,Pretzel Bagels,$2.69,18 Oz,85 g,229.0,1.0 g,0 mg,340 mg,47 g,2 g,4 g,8 g,0 mcg,20 mg,2.5 mg,90 mg
1481,A Za'atar Tango Salad Kit,$3.99,9.25 Oz,100 g,468.0,32 g,0 mg,700 mg,36 g,7 g,17 g,9 g,0.2 mcg,250 mg,5.2 mg,630 mg
1482,Vegan Enchilada Casserole,$5.99,20 Oz,230 g,648.0,28 g,0 mg,1640 mg,86 g,15 g,9 g,13 g,0 mcg,520 mg,4.9 mg,1080 mg
1483,Spicy Cashew Butter Dressing,$3.99,11 Oz,30 mL,46.5,2.5 g,0 mg,135 mg,4 g,0 g,1 g,2 g,0 mcg,10 mg,0.4 mg,60 mg
1484,Cheddar & Gruyere Mèlange Cheese,$7.99,1 Lb,28 g,113.0,9g,25mg,125mg,1g,0g,0g,7g,,,,
1485,Shredded Lite Mozzarella Cheese,$3.99,12 Oz,28 g/,58.0,2 g,10 mg,170 mg,3 g,0 g,2 g,7 g,0.1 mcg,190 mg,0.1 mg,20 mg
1486,Crisp Crunchy Crisps,$2.29,4 Oz,28 g,118.5,2.5 g,0 mg,250 mg,20 g,3 g,0 g,4 g,0.0 mcg,40 mg,1.4 mg,170 mg
1487,Chocolate & Peanut Butter Joe-Joe's,$3.49,6.8 Oz,24 g,118.0,6 g,0 mg,70 mg,14 g,0 g,9 g,2 g,0 mcg,10 mg,0.7 mg,80 mg
1488,Raw Almonds,$4.49,1 Lb,30 g,183.0,15 g,0 mg,0 mg,6 g,4 g,1 g,6 g,0.0 mcg,80 mg,1.1 mg,220 mg
1489,Lemon Bars,$4.99,10.6 Oz,50 g,179.0,7 g,65 mg,60 mg,27 g,0 g,20 g,2 g,0.2 mcg,30 mg,0.3 mg,30 mg
